IRS,64,HOLD
VCSA,72,HOLD
ICM.V,93,HOLD
SONN,106,HOLD
DOXA.ST,223,HOLD
NRSN,271,HOLD
LUCK.V,316,HOLD
CRESY,322,HOLD
SCHA.OL,323,HOLD
SCHB.OL,325,HOLD
ASND.TO,359,HOLD
SQFT,374,HOLD
LUNR,384,HOLD
SPRINT.ST,416,HOLD
KDA.V,430,HOLD
