AMRK,quarterlyCurrentAssets: 1294923000.0,quarterlyCurrentLiabilities: 704978000.0,quarterlyEBIT: 33758000.0,quarterlyEnterpriseValue: 1320719608.0,quarterlyNetPPE: 18516000.0
AKA,quarterlyCurrentAssets: 154163000.0,quarterlyCurrentLiabilities: 88148000.0,quarterlyEBIT: -70890000.0,quarterlyEnterpriseValue: 194406869.0,quarterlyNetPPE: 64950000.0
AOS,quarterlyCurrentAssets: 1504500000.0,quarterlyCurrentLiabilities: 895600000.0,quarterlyEBIT: 178800000.0,quarterlyEnterpriseValue: 9774241393.0,quarterlyNetPPE: 614400000.0
MAERSK-A.CO,quarterlyCurrentAssets: 31959000000.0,quarterlyCurrentLiabilities: 12819000000.0,quarterlyEBIT: 10545000000.0,quarterlyEnterpriseValue: 236827109815.0,quarterlyNetPPE: 37541000000.0
MAERSK-B.CO,quarterlyCurrentAssets: 31959000000.0,quarterlyCurrentLiabilities: 12819000000.0,quarterlyEBIT: 10545000000.0,quarterlyEnterpriseValue: 236827109815.0,quarterlyNetPPE: 37541000000.0
ATEN,quarterlyCurrentAssets: 264631000.0,quarterlyCurrentLiabilities: 111331000.0,quarterlyEBIT: 2209000.0,quarterlyEnterpriseValue: 964831446.0,quarterlyNetPPE: 26054000.0
AZ,quarterlyCurrentAssets: 5038000.0,quarterlyCurrentLiabilities: 4869000.0,quarterlyEBIT: -4952000.0,quarterlyEnterpriseValue: 54868409.0,quarterlyNetPPE: 1891000.0
AAC.ST,quarterlyCurrentAssets: 173767000.0,quarterlyCurrentLiabilities: 205809000.0,quarterlyEBIT: -942000.0,quarterlyEnterpriseValue: 181551494.0,quarterlyNetPPE: 74566000.0
AADI,quarterlyCurrentAssets: 132884000.0,quarterlyCurrentLiabilities: 20517000.0,quarterlyEBIT: -16244000.0,quarterlyEnterpriseValue: -14743878.0,quarterlyNetPPE: 4861000.0
AAK.ST,quarterlyCurrentAssets: 19707000000.0,quarterlyCurrentLiabilities: 10178000000.0,quarterlyEBIT: 1165000000.0,quarterlyEnterpriseValue: 55624123000.0,quarterlyNetPPE: 8277000000.0
AAON,quarterlyCurrentAssets: 425292000.0,quarterlyCurrentLiabilities: 140479000.0,quarterlyEBIT: 64757000.0,quarterlyEnterpriseValue: 4721999298.0,quarterlyNetPPE: 369082000.0
AIR,quarterlyCurrentAssets: 1207200000.0,quarterlyCurrentLiabilities: 393500000.0,quarterlyEBIT: -1700000.0,quarterlyEnterpriseValue: 2423671815.0,quarterlyNetPPE: 198300000.0
ABL,quarterlyCurrentAssets: 39518757.0,quarterlyCurrentLiabilities: 5457675.0,quarterlyEBIT: 5440524.0,quarterlyEnterpriseValue: 428872086.0,quarterlyNetPPE: 433176.0
AME.V,quarterlyCurrentAssets: 270859.0,quarterlyCurrentLiabilities: 27112479.0,quarterlyEBIT: -160920.0,quarterlyEnterpriseValue: 30628916.0,quarterlyNetPPE: 833465.0
ABAS.ST,quarterlyCurrentAssets: 48637000.0,quarterlyCurrentLiabilities: 18627000.0,quarterlyEBIT: 3360000.0,quarterlyEnterpriseValue: 94294588.0,quarterlyNetPPE: 35172000.0
ABA.V,quarterlyCurrentAssets: 2800110.0,quarterlyCurrentLiabilities: 1356230.0,quarterlyEBIT: -1784113.0,quarterlyEnterpriseValue: 4273423.0,quarterlyNetPPE: 68444.0
ABB.ST,quarterlyCurrentAssets: 20836000000.0,quarterlyCurrentLiabilities: 17470000000.0,quarterlyEBIT: 1304000000.0,quarterlyEnterpriseValue: 782074553972.0,quarterlyNetPPE: 4741000000.0
ABT,quarterlyCurrentAssets: 22664000000.0,quarterlyCurrentLiabilities: 13042000000.0,quarterlyEBIT: 1837000000.0,quarterlyEnterpriseValue: 176760420363.0,quarterlyNetPPE: 9552000000.0
ABL.DE,quarterlyCurrentAssets: 22664000000.0,quarterlyCurrentLiabilities: 13042000000.0,quarterlyEBIT: 1837000000.0,quarterlyEnterpriseValue: 167353407551.0,quarterlyNetPPE: 9552000000.0
ABBV,quarterlyCurrentAssets: 33224000000.0,quarterlyCurrentLiabilities: 34773000000.0,quarterlyEBIT: 2508000000.0,quarterlyEnterpriseValue: 315346858120.0,quarterlyNetPPE: 4934000000.0
4AB.DE,quarterlyCurrentAssets: 33224000000.0,quarterlyCurrentLiabilities: 34773000000.0,quarterlyEBIT: 2508000000.0,quarterlyEnterpriseValue: 298564413677.0,quarterlyNetPPE: 4934000000.0
ABCL,quarterlyCurrentAssets: 919518000.0,quarterlyCurrentLiabilities: 110239000.0,quarterlyEBIT: -52062000.0,quarterlyEnterpriseValue: 619374988.0,quarterlyNetPPE: 277209000.0
ABI.V,quarterlyCurrentAssets: 2072050.0,quarterlyCurrentLiabilities: 7141516.0,quarterlyEBIT: -2299500.0,quarterlyEnterpriseValue: 15050712.0,quarterlyNetPPE: 8624241.0
ABM.V,quarterlyCurrentAssets: 164091.0,quarterlyCurrentLiabilities: 25927.0,quarterlyEBIT: -90472.0,quarterlyEnterpriseValue: 1528552.0,quarterlyNetPPE: 13611150.0
ABEO,quarterlyCurrentAssets: 57264000.0,quarterlyCurrentLiabilities: 8412000.0,quarterlyEBIT: -11731000.0,quarterlyEnterpriseValue: 73424225.0,quarterlyNetPPE: 8684000.0
ANF,quarterlyCurrentAssets: 1311265000.0,quarterlyCurrentLiabilities: 936480000.0,quarterlyEBIT: 96380000.0,quarterlyEnterpriseValue: 2707821010.0,quarterlyNetPPE: 1268657000.0
ABG.OL,quarterlyCurrentAssets: 3770100000.0,quarterlyCurrentLiabilities: 3155600000.0,quarterlyEBIT: 51400000.0,quarterlyEnterpriseValue: 2121108507.0,quarterlyNetPPE: 497500000.0
ABL.OL,quarterlyCurrentAssets: 107268000.0,quarterlyCurrentLiabilities: 54984000.0,quarterlyEBIT: 6869000.0,quarterlyEnterpriseValue: 1701649722.0,quarterlyNetPPE: 9511000.0
ABLI.ST,quarterlyCurrentAssets: 84019000.0,quarterlyCurrentLiabilities: 12719000.0,quarterlyEBIT: -32925000.0,quarterlyEnterpriseValue: 191854397.0,quarterlyNetPPE: 883000.0
ABM,quarterlyCurrentAssets: 1729200000.0,quarterlyCurrentLiabilities: 1176500000.0,quarterlyEBIT: 140200000.0,quarterlyEnterpriseValue: 4475664952.0,quarterlyNetPPE: 233300000.0
YOU.DE,quarterlyCurrentAssets: 888800000.0,quarterlyCurrentLiabilities: 700000000.0,quarterlyEBIT: -37900000.0,quarterlyEnterpriseValue: 1066858027.0,quarterlyNetPPE: 188300000.0
ABRA.V,quarterlyCurrentAssets: 7077458.0,quarterlyCurrentLiabilities: 376312.0,quarterlyEBIT: -2847343.0,quarterlyEnterpriseValue: 158395475.0,quarterlyNetPPE: 24920267.0
ABSI,quarterlyCurrentAssets: 134713000.0,quarterlyCurrentLiabilities: 27973000.0,quarterlyEBIT: -21731000.0,quarterlyEnterpriseValue: 17258459.0,quarterlyNetPPE: 49901000.0
ABSO.ST,quarterlyCurrentAssets: 768040000.0,quarterlyCurrentLiabilities: 317153000.0,quarterlyEBIT: 61679000.0,quarterlyEnterpriseValue: 4580101032.0,quarterlyNetPPE: 231546000.0
ABSL-B.ST,quarterlyCurrentAssets: 31977000.0,quarterlyCurrentLiabilities: 19994000.0,quarterlyEBIT: -9746000.0,quarterlyEnterpriseValue: 119616340.0,quarterlyNetPPE: 52750000.0
ABVC,quarterlyCurrentAssets: 2493534.0,quarterlyCurrentLiabilities: 5363076.0,quarterlyEBIT: -2150455.0,quarterlyEnterpriseValue: 9115503.0,quarterlyNetPPE: 8853753.0
ACIU,quarterlyCurrentAssets: 86179000.0,quarterlyCurrentLiabilities: 11710000.0,quarterlyEBIT: -15114000.0,quarterlyEnterpriseValue: 139173921.0,quarterlyNetPPE: 6030000.0
ACTG,quarterlyCurrentAssets: 484447000.0,quarterlyCurrentLiabilities: 21433000.0,quarterlyEBIT: 2695000.0,quarterlyEnterpriseValue: -17527925.0,quarterlyNetPPE: 4135000.0
ACAD.ST,quarterlyCurrentAssets: 2142000000.0,quarterlyCurrentLiabilities: 4723000000.0,quarterlyEBIT: 226000000.0,quarterlyEnterpriseValue: 15624274352.0,quarterlyNetPPE: 11939000000.0
